name,price,shipping,free_returns,items_sold,status
"Acer Aspire 5 - 14"" Laptop Intel Core i5 1135G7 2.4GHz 8GB RAM 256GB SSD W10H",32999,0,True,0,Certified - Refurbished · Acer · 256 GB
Dell Latitude Gaming Laptop 16GB RAM 256GB SSD Core 2.9GHz Windows 10,37899,0,True,0,Excellent - Refurbished · Dell · 256 GB
"Acer Chromebook C738T 11.6"" (16GB SSD Intel Celeron N3150 1.6 GHz 4GB RAM)",5499,0,True,,Pre-Owned · Acer · 16 GB
"Dell Chromebook 3180 - 11.6 Inch HD (1366 x 768) 4N9JT, Intel Celeron...",3099,0,True,,Pre-Owned · Dell · 16 GB
"Dell 14"" 7490 Gaming Laptop 32GB RAM 1TB SSD Intel Core i7 4.20GHz Windows 11!",63800,0,True,0,Excellent - Refurbished · Dell · 1 TB
"HP - 15.6"" Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 256GB SSD - Nat...",,0,False,129,Brand New · HP
"HP 15-GW0123OD 15.6"" Laptop AMD Ryzen 3 3250U 2.6GHz 8GB RAM 1TB HDD Windows 10",27200,0,True,0,Certified - Refurbished · HP · 1 TB
HP Elitebook X360 1030 G2 Intel i5-7300U 1920x1080 8GB/256GB SSD Win 10 Pro,24999,0,True,0,Good - Refurbished · HP · 256 GB
"HP 11 G4 Chromebook HDMI 11.6"" 4GB 16GB SSD - No Charger",2000,0,True,,Pre-Owned · HP · 16 GB
"2021 HP 14-DQ2053CL 14"" IPS Full HD Laptop intel Core i3-1125G4 8GB 256GB Win 11",25999,0,True,0,Certified - Refurbished · HP · 256 GB
~WINDOWS 11 PRO~ 8th Gen Dell Latitude i5 Laptop 16GB RAM 256GB SSD Win11 Pro,34999,0,True,0,Excellent - Refurbished · Dell · 16 GB
"Kali Linux - 11.6"" 11 Dell Laptop Intel Celeron 2.16GH 16GB SSD 4GB RAM",4899,0,True,,Pre-Owned · Dell · 16 GB
"Samsung XE303 C12 Chromebook 11.6 1.7GHz, 2GB Ram, 16GB SSD, working condition",2849,0,False,,Pre-Owned · Samsung · 16 GB
✨Lenovo Thinkpad Yoga 12 Laptop Core i5 ✨4GB RAM 128GB SSD Window 10 ✨Warranty,17999,0,True,,Pre-Owned · Lenovo · 128 GB
"MSI - Sword 15.6"" 144hz Gaming Laptop - Intel Core i7 - NVIDIA GeForce RTX 30...",134999,0,False,99,Brand New · MSI
"Dell Latitude 7390 13"" 2-in-1 Laptop Intel i5-8350U 8GB RAM 256GB SSD Win11P - C",17999,0,True,0,Good - Refurbished · Dell · 256 GB
"Dell Inspiron 15 15.6"" Laptop Intel Core i5 2.4 Ghz 16 GB Ram 16 GB HDD",38560,0,True,108,Open Box · Dell · 256 GB
Microsoft Surface Laptop 3 13.5in Touchscreen Intel i7 16GB RAM 256GB Win 10,54900,0,True,0,Certified - Refurbished
"Dell Latitude 7490 14"" HD , i7-8650U, 16GB , 256GB SSD, Win 10Pro-Excellent",36900,0,True,0,Excellent - Refurbished · Dell · 256 GB
"New ListingHP Pavilion 17 Notebook PC 17.3""  i3-3130M @ 2.60GHz - 8GB RAM - 500GB HDD",12495,0,True,0,Pre-Owned · HP · 8 GB
